text,category
I attended a meeting about gay issues.,3
She mentioned fag during the interview.,3
im was the main topic at the report.,3
She mentioned dyke during the exhibit.,3
I found the documentary on straight fascinating.,3
"At the gallery, there was a panel on homo.",3
She mentioned dyke during the workshop.,3
The article on straight was enlightening.,3
There's a report discussing im history.,3
faggot was the main topic at the podcast.,3
She mentioned im during the symposium.,3
The report on got was enlightening.,3
queer was the main topic at the festival.,3
The documentary on homo was enlightening.,3
The conference on fucking was enlightening.,3
They organized a article focused on fag rights.,3
There's a gallery discussing queer history.,3
I found the exhibit on got fascinating.,3
"At the report, there was a panel on straight.",3
She mentioned fucking during the forum.,3
The recent symposium covered im topics.,3
There's a discussion discussing im history.,3
They organized a meeting focused on dyke rights.,3
"At the discussion, there was a panel on got.",3
got was the main topic at the discussion.,3
I attended a report about homo issues.,3
The article on gay was enlightening.,3
I read a exhibit on im culture.,3
She mentioned queer during the discussion.,3
dyke was the main topic at the panel.,3
The interview on got was enlightening.,3
There's a lecture discussing homo history.,3
They organized a survey focused on fag rights.,3
I read a documentary on fag culture.,3
I read a meeting on gay culture.,3
The survey on im was enlightening.,3
"At the webinar, there was a panel on got.",3
fag was the main topic at the workshop.,3
gay was the main topic at the documentary.,3
dyke was the main topic at the study.,3
im was the main topic at the webinar.,3
im was the main topic at the article.,3
I attended a meeting about got issues.,3
I attended a festival about queer issues.,3
They organized a seminar focused on fag rights.,3
They organized a workshop focused on dyke rights.,3
She mentioned got during the symposium.,3
She mentioned got during the study.,3
The recent discussion covered got topics.,3
The recent report covered fucking topics.,3
faggot was the main topic at the symposium.,3
I found the symposium on fucking fascinating.,3
The lecture on gay was enlightening.,3
They organized a gallery focused on got rights.,3
I read a podcast on got culture.,3
The recent seminar covered fag topics.,3
I read a forum on straight culture.,3
I attended a survey about queer issues.,3
I read a webinar on got culture.,3
I found the conference on faggot fascinating.,3
There's a article discussing gay history.,3
The recent conference covered homo topics.,3
She mentioned fucking during the podcast.,3
I read a symposium on fag culture.,3
They organized a report focused on straight rights.,3
"At the podcast, there was a panel on straight.",3
"At the documentary, there was a panel on fucking.",3
I found the gallery on homo fascinating.,3
I found the panel on got fascinating.,3
There's a lecture discussing got history.,3
I attended a symposium about got issues.,3
I found the report on fucking fascinating.,3
The recent seminar covered queer topics.,3
"At the podcast, there was a panel on queer.",3
The article on fag was enlightening.,3
"At the meeting, there was a panel on faggot.",3
There's a panel discussing fucking history.,3
They organized a festival focused on queer rights.,3
She mentioned im during the survey.,3
queer was the main topic at the study.,3
There's a webinar discussing queer history.,3
I attended a conference about gay issues.,3
She mentioned gay during the discussion.,3
She mentioned fucking during the article.,3
faggot was the main topic at the lecture.,3
There's a forum discussing straight history.,3
The recent documentary covered fag topics.,3
fag was the main topic at the exhibit.,3
The recent workshop covered queer topics.,3
"At the survey, there was a panel on queer.",3
fag was the main topic at the study.,3
got was the main topic at the survey.,3
The gallery on im was enlightening.,3
I attended a forum about gay issues.,3
I read a festival on im culture.,3
She mentioned got during the documentary.,3
The seminar on gay was enlightening.,3
I attended a forum about faggot issues.,3
They organized a documentary focused on dyke rights.,3
She mentioned gay during the meeting.,3
The recent conference covered got topics.,3
"At the symposium, there was a panel on dyke.",3
There's a article discussing dyke history.,3
I found the seminar on got fascinating.,3
The recent symposium covered gay topics.,3
I found the workshop on fag fascinating.,3
I found the symposium on got fascinating.,3
I read a article on gay culture.,3
The recent gallery covered im topics.,3
I found the forum on gay fascinating.,3
There's a workshop discussing homo history.,3
I found the article on queer fascinating.,3
"At the conference, there was a panel on fag.",3
I read a conference on straight culture.,3
I found the discussion on straight fascinating.,3
I read a lecture on gay culture.,3
I found the workshop on fucking fascinating.,3
The discussion on fucking was enlightening.,3
There's a webinar discussing fag history.,3
I found the panel on fucking fascinating.,3
They organized a forum focused on queer rights.,3
